Country_Name,Country_Code,2010_Preparedness,2010_Stat_Capacity,2011_Preparedness,2011_Stat_Capacity,2012_Preparedness,2012_Stat_Capacity,2013_Preparedness,2013_Stat_Capacity,2014_Preparedness,2014_Stat_Capacity,2015_Preparedness,2015_Stat_Capacity,2016_Preparedness,2016_Stat_Capacity,2017_Preparedness,2017_Stat_Capacity
United Arab Emirates,ARE,12,,42,,50,,100,,100,,100,,100,,100,
United Kingdom,GBR,,,,,,,,,,,,,100,,100,
United States,USA,87,,80,,100,,100,,100,,100,,100,,100,
Uruguay,URY,,95.55555556,,94.44444444,,94.44444444,81,92.22222222,,90,90,88.88886667,90,88.88886667,100,85.55553333
Uzbekistan,UZB,,61.11111111,100,61.11111111,,57.77777778,,57.77777778,91,54.44444444,,51.11113333,,48.88883333,,51.1111
Vanuatu,VUT,0,42.22222222,,53.33333333,0,47.77777778,81,43.33333333,,43.33333333,35,45.55556667,,50,83,52.2222
"Venezuela, RB",VEN,,83.33333333,10,78.88888889,80,77.77777778,80,80,100,81.11111111,100,82.22223333,100,82.22223333,100,68.8889
Vietnam,VNM,35,64.44444444,100,71.11111111,70,71.11111111,90,74.44444444,100,76.66666667,100,82.22223333,100,82.22223333,92,83.33333333
"Yemen, Rep.",YEM,,48.88888889,,47.77777778,40,46.66666667,18,52.22222222,18,55.55555556,,55.5556,,47.77783333,10,44.44446667
Zambia,ZMB,,57.77777778,67,60,100,62.22222222,100,56.66666667,100,60,,60.00003333,,53.33336667,73,52.22223333
Zimbabwe,ZWE,,51.11111111,55,54.44444444,,53.33333333,,54.44444444,63,57.77777778,,62.2222,80,55.55553333,53,59.99996667
